,ranking,isIp,valid,urlLen,is@,isredirect,haveDash,domainLen,label,notlabel
0,10000000,0,0,20,0,0,1,20,1,0
1,194914,0,1,42,0,0,0,12,0,1
2,10000000,0,0,155,0,0,0,14,1,0
3,7001,0,0,35,0,0,0,18,0,1
4,10000000,0,1,79,0,0,1,14,1,0
5,10000000,0,1,21,0,0,0,17,1,0
6,10000000,0,1,40,0,0,0,19,0,1
7,23191,0,0,50,0,0,0,20,0,1
8,10000000,0,0,24,0,0,0,15,0,1
9,10000000,0,1,27,0,0,0,13,0,1
10,1451,0,0,36,0,0,0,11,0,1
11,10000000,0,0,54,0,0,0,13,1,0
12,14969,0,1,27,0,0,0,14,0,1
13,10000000,0,1,101,0,0,0,27,1,0
14,193405,0,1,40,0,0,0,12,0,1
15,1603,0,0,27,0,0,0,20,0,1
16,3533,0,1,43,0,0,0,32,0,1
17,14969,0,1,27,0,0,0,14,0,1
18,1267,0,1,31,0,0,0,20,0,1
19,10000000,0,1,19,0,0,0,13,0,1
20,1267,0,1,40,0,0,0,24,0,1
21,10000000,0,1,44,0,0,0,28,1,0
22,10000000,0,1,27,0,0,0,13,0,1
23,10000000,0,1,55,0,1,0,15,1,0
24,14969,0,1,26,0,0,0,14,0,1
25,14969,0,1,27,0,0,0,14,0,1
26,10000000,0,0,95,0,0,1,39,1,0
27,10000000,0,1,283,0,0,1,75,1,0
28,7644,0,1,36,0,0,0,22,0,1
29,10000000,0,1,54,0,0,0,25,1,0
30,10000000,0,1,173,0,0,0,22,1,0
31,4570,0,1,343,0,0,1,44,1,0
32,10000000,0,0,27,0,0,0,12,0,1
33,10000000,0,1,27,0,0,0,26,1,0
34,10000000,0,1,22,0,0,0,14,0,1
35,10000000,0,0,153,0,0,1,119,1,0
36,10000000,0,0,74,0,0,0,15,1,0
37,10000000,0,1,104,0,0,0,15,1,0
38,10000000,0,0,83,0,0,0,28,1,0
39,91824,0,1,34,0,0,0,14,0,1
40,10000000,0,0,43,0,0,0,20,0,1
41,10000000,0,1,28,0,0,0,22,0,1
42,10000000,0,1,97,0,0,0,13,1,0
43,1,0,1,39,0,0,0,16,1,0
44,14969,0,1,27,0,0,0,14,0,1
45,10000000,0,1,51,0,0,0,22,1,0
46,10000000,0,0,91,0,0,0,17,1,0
47,10000000,0,0,103,0,0,0,33,1,0
48,10000000,0,0,178,0,0,1,170,1,0
49,10000000,0,0,165,0,0,1,133,1,0
50,54827,0,1,61,0,0,0,25,1,0
51,10000000,0,0,153,0,0,0,19,1,0
52,10000000,0,0,28,0,0,0,23,1,0
53,5001,0,1,27,0,0,0,16,0,1
54,10000000,0,0,44,0,0,0,8,1,0
55,10000000,0,1,61,0,0,0,18,1,0
56,10000000,0,1,79,0,0,0,13,1,0
57,10000000,0,0,84,0,0,0,15,1,0
58,4,0,1,36,0,0,0,21,0,1
59,11,0,1,35,0,0,0,34,1,0
60,976696,0,1,26,0,0,0,16,0,1
61,10000000,0,1,99,0,0,0,20,1,0
62,10000000,0,0,145,0,0,1,111,1,0
63,10000000,0,1,54,0,0,0,20,0,1
64,10000000,0,0,35,0,0,0,16,1,0
65,2547,0,1,46,0,0,0,17,0,1
66,10000000,0,1,32,0,0,0,15,1,0
67,314865,0,1,38,0,0,0,15,0,1
68,174672,0,1,64,0,0,0,21,0,1
69,5530,0,1,85,0,0,0,12,0,1
70,10000000,0,1,76,0,0,0,25,1,0
71,10000000,0,1,121,0,0,0,12,1,0
72,236871,0,1,72,0,0,0,14,1,0
73,14969,0,1,26,0,0,0,14,0,1
74,29,0,1,42,0,0,0,17,0,1
75,2547,0,1,46,0,0,0,17,0,1
76,10000000,0,0,170,0,0,0,26,1,0
77,44061,0,1,33,0,0,0,13,1,0
78,10000000,0,1,43,0,0,0,23,1,0
79,10000000,0,1,71,0,0,1,70,1,0
80,10000000,0,0,76,0,0,0,27,1,0
81,4570,0,1,369,0,0,1,44,1,0
82,10000000,0,0,107,0,0,0,14,1,0
83,656,0,1,19,0,0,0,11,1,0
84,10000000,0,0,76,0,0,0,27,1,0
85,10000000,0,1,94,0,0,0,15,1,0
86,10000000,0,1,54,0,0,0,15,0,1
87,10000000,0,0,44,0,0,0,16,0,1
88,10000000,0,1,18,0,0,0,11,0,1
89,61781,0,0,47,0,0,0,15,0,1
90,10000000,0,0,60,0,0,0,18,1,0
91,10000000,0,0,50,0,0,0,23,1,0
92,10000000,0,0,113,0,0,0,11,1,0
93,51908,0,1,18,0,0,0,17,1,0
94,10000000,0,1,38,0,0,0,17,0,1
95,10000000,0,0,356,0,0,1,201,1,0
96,10000000,0,0,63,0,0,0,28,1,0
97,10000000,0,0,30,0,0,0,23,1,0
98,10000000,0,1,92,0,0,0,12,1,0
99,10000000,0,1,51,0,0,0,18,0,1
100,10000000,0,0,123,0,0,1,31,1,0
101,1,0,1,34,0,0,0,17,0,1
102,483,0,1,31,0,0,0,10,0,1
103,44061,0,1,33,0,0,0,13,1,0
104,29330,0,1,31,0,0,0,12,0,1
105,86595,0,1,48,0,0,1,23,0,1
106,10000000,0,0,41,0,0,0,17,0,1
107,10000000,0,1,29,0,0,0,18,0,1
108,10000000,0,1,125,0,0,0,19,1,0
109,10000000,0,0,44,0,0,0,19,1,0
110,36891,0,1,21,0,0,0,15,0,1
111,10401,0,0,65,0,0,0,17,0,1
112,576,0,1,51,0,0,0,11,0,1
113,182219,0,0,64,0,0,0,16,1,0
114,10000000,0,0,57,0,0,1,14,1,0
115,78144,0,1,128,0,0,0,17,0,1
116,10000000,0,0,49,0,0,0,26,1,0
117,158686,0,1,19,0,0,0,18,1,0
118,2852,0,0,52,0,0,0,18,0,1
119,10000000,0,0,73,0,0,0,20,1,0
120,10000000,0,1,19,0,0,0,9,0,1
121,10000000,0,0,35,0,0,0,18,0,1
122,213718,0,1,34,0,0,0,18,1,0
123,10000000,0,1,117,0,0,0,15,1,0
124,10000000,0,0,98,0,0,0,22,1,0
125,38609,0,1,65,0,0,0,12,0,1
126,10000000,0,0,71,0,0,0,19,1,0
127,10000000,0,1,51,0,0,0,20,0,1
128,4570,0,1,369,0,0,1,44,1,0
129,411,0,1,43,0,0,0,16,0,1
130,10000000,0,1,235,0,0,1,218,1,0
